city_name,citree_name
Acer ginnala,Acer tataricum subsp. ginnala
Betula lutea,Betula alleghaniensis
Chamaecyparis nootkatensis,Xanthocyparis nootkatensis
Crataegus oxyacantha,Crataegus laevigata
Crataegus x lavallei,Lederblättriger Weißdorn
Davidia involukrata,Davidia involucrata
Euodia hupehensis,Tetradium daniellii
Evodia hupehensis,Tetradium daniellii
Gleditsia triacanthos 'Inermis',Gleditsia triacanthos f. inermis
Magnolia x soulangiana,Magnolia × soulangeana
Malus communis,Malus domestica
Malus 'Golden Hornet',Golden Hornet
Picea glauka,Picea glauca
Platanus orientalis,Plantanus orientalis
Pyrus calleriana,Pyrus calleryana
Salix viminalis,蒿柳
Schwedische Mehlbeere,Sorbus intermedia
Sequoiadendron giganteum,巨杉
Betula utilis,Betula utilis subsp. jacquemontii
"Laburnum x water.'Vossii'",Laburnum × watereri
Pinus nigra ssp. nigra,Pinus nigra
Tilia x euchlora Selektion,Tilia × euchlora
Tilia x vulgaris,Tilia × europaea